kulut_muut,kunta,kulut_muut_viestintavalineet,kulut_vaalitilaisuudet,muu_tuki,lainat,etunimi,omat_varat,kulut_radio,kulut_kaikki,yritys_tuki,puolue_lyh,kulut_tietoverkot,rahoitus_kaikki,kulut_televisio,valitetty_tuki,kulut_painettu_mat,puolueyhdistys_tuki,puolue,vaalipiiri,sukunimi,kulut_tuen_hankintakulut,kulut_mainonnan_suunnittelu,kulut_ulkomainonta,kulut_lehdet,ammatti,yksityinen_tuki,puolue_tuki
0,Pohjois-Savon vaalipiiri,0,0,0,0,Liisa Inkeri,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Pohjois-Savon vaalipiiri,Pietikäinen,0,0,0,0,"FM, agrologi (AMK)",0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Mari Tytti Johanna,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Pohjois-Savon vaalipiiri,Kauhanen,0,0,0,0,järjestötyöntekijä,0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Iiro-Pekka,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Pohjois-Savon vaalipiiri,Airola,0,0,0,0,"opiskelija, maakuntavaltuuston jäsen",0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Hetti Haria,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Pohjois-Savon vaalipiiri,Rytsy,0,0,0,0,"kaupunginvaltuutettu, lukion lehtori",0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Erkki Antero,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Pohjois-Savon vaalipiiri,Björk,0,0,0,0,"dosentti, yliopiston lehtori",0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Harri Kristian,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Pohjois-Savon vaalipiiri,Auvinen,0,0,0,0,"tekniikan tohtori, filosofian maisteri",0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Harri Markus Olavi,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Pohjois-Savon vaalipiiri,Hölttä,0,0,0,0,"filosofian maisteri, metsäasiantuntija",0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Eija Anneli,0,0,0,0,VIHR,0,0,0,0,0,0,Vihreä liitto r.p.,Pohjois-Savon vaalipiiri,Luostarinen,0,0,0,0,sihteeri,0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Raija Tellervo,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Pohjois-Savon vaalipiiri,Haukka,0,0,0,0,kirjastovirkailija,0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Tuomo Pekka,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Pohjois-Savon vaalipiiri,Tikkanen,0,0,0,0,"lihanleikkaaja, työsuojeluvaltuutettu",0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Veli Matti,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Pohjois-Savon vaalipiiri,Semi,0,0,0,0,"rakennusmies, luottamusmies",0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Pia Riitta Maria,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Pohjois-Savon vaalipiiri,Valkonen,0,0,0,0,toimittaja,0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Paula Katriina,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Pohjois-Savon vaalipiiri,Mehto,0,0,0,0,toimistotyöntekijä,0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Kari Ensio,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Pohjois-Savon vaalipiiri,Turunen,0,0,0,0,kulttuuriteknikko,0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Heidi Kaarina Annukka,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Pohjois-Savon vaalipiiri,Komulainen,0,0,0,0,"YTM, sosiaalityöntekijä",0,0
0,Pohjois-Savon vaalipiiri,0,0,0,0,Erkki Alvar,0,0,0,0,VAS,0,0,0,0,0,0,Vasemmistoliitto r.p.,Pohjois-Savon vaalipiiri,Virtanen,0,0,0,0,"kansanedustaja, yhteiskuntatieteiden kandidaatti",0,0
